name,initiatives,count,type
Tokio Marine,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'FTSE Russell', 'United Nations Framework Convention on Climate Change', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change']",9,ins
JP Insurance,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact']",3,ins
DGB,"['Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Carbon Disclosure Project']",6,ins
AP Fonden 1,"['Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'Climate Action 100+', 'Global Reporting Initiative', 'International Corporate Governance Network']",9,pf
GEPF,"['Global Reporting Initiative', 'Sustainable Development Goals', 'International Corporate Governance Network', 'Principles for Responsible Investment']",4,pf
Future Fund,['International Corporate Governance Network'],1,pf
GPF,"['Sustainability Accounting Standards Board', 'UN Global Compact', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'FTSE Russell', 'Intergovernmental Panel on Climate Change', 'Carbon Disclosure Project']",11,pf
CPP,"['Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'Intergovernmental Panel on Climate Change', 'International Corporate Governance Network', 'Sustainability Accounting Standards Board', 'Network of Central Banks and Supervisors for Greening the Financial System']",9,pf
AP Fonden 3,"['Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Investor Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Institutional Investors Group on Climate Change', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Green Bond Principles', 'Global Real Estate Sustainability Benchmark']",11,pf
FDC,"['Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'Intergovernmental Panel on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Climate Action 100+', 'Green Bond Principles', 'Institutional Investors Group on Climate Change']",11,pf
AP Fonden 7,"['Task Force on Climate-related Financial Disclosure', 'Climate Action 100+', 'UN Global Compact', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Principles for Responsible Investment', 'International Corporate Governance Network']",8,pf
ABP,"['Sustainable Development Goals', 'Climate Action 100+', 'Principles for Responsible Investment', 'UN Global Compact', 'Global Real Estate Sustainability Benchmark', 'Carbon Risk Real Estate Monitor', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'International Corporate Governance Network']",9,pf
AP Fonden 2,"['Global Reporting Initiative', 'UN Global Compact', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Science Based Targets initiative', 'Investor Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'Carbon Disclosure Project', 'United Nations Framework Convention on Climate Change']",13,pf
GPIF,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure', 'Carbon Risk Real Estate Monitor', 'International Corporate Governance Network', 'Climate Action 100+', 'Partnership for Carbon Accounting Financials', 'Carbon Disclosure Project', 'Network of Central Banks and Supervisors for Greening the Financial System']",10,pf
ISIF,"['Principles for Responsible Investment', 'Carbon Disclosure Project', 'Climate Action 100+', 'Equator Principles']",4,pf
AP Fonden 4,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Global Real Estate Sustainability Benchmark', 'Investor Group on Climate Change', 'Principles for Responsible Investment']",5,pf
NPS,"['Principles for Responsible Investment', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Asia Investor Group on Climate Change', 'UN Global Compact', 'United Nations Environment Program Finance Initiative']",6,pf
CalSTRS,"['Global Reporting Initiative', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'FTSE Russell', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board']",6,pf
CalPERS,"['Carbon Disclosure Project', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'UN Global Compact']",5,pf
