,Company,Type,Initiatives,Count
111,Sinopac,am,"['Sustainable Development Goals', 'Equator Principles', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Intergovernmental Panel on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'UN Global Compact', 'Principles for Responsible Investment', 'Science Based Targets initiative', 'Climate Action 100+']",11
112,SMTH,am,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'UN Global Compact', 'Equator Principles', 'Climate Action 100+', 'Carbon Disclosure Project', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Science Based Targets initiative']",17
113,SunLife,ins,"['Sustainable Development Goals', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change', 'UN Global Compact']",7
114,TaiwanLife,am,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure']",3
115,TCW,ins,['Principles for Responsible Investment'],1
116,TIAA,am,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Investor Network on Climate Risk', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles']",5
117,TokioMarine,am,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Intergovernmental Panel on Climate Change', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Financial Action for the 21st Century', 'FTSE Russell', 'Carbon Disclosure Project']",9
118,TROWEPRICE,ins,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'The Greenhouse Gas Protocol']",6
119,UBS,am,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Principles for Responsible Investment', 'Paris Agreement Capital Transition Assessment', 'Intergovernmental Panel on Climate Change', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Investment Principle', 'Carbon Disclosure Project', 'United Nations Framework Convention on Climate Change', 'Net Zero Asset Managers initiative', 'Green Bond Principles', 'IFC Performance Standard', 'Global Investors for Sustainable Development Alliance ']",19
120,UOB,ab,"['Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Asia Sustainable Finance Initiative', 'Partnership for Carbon Accounting Financials', 'Sustainability Linked Loan Principles', 'Green Bond Principles', 'Intergovernmental Panel on Climate Change']",10
121,UOBAM,am,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2
122,Vanguard,am,['Sustainability Accounting Standards Board'],1
123,VP,am,"['Stock Exchange of Hong Kong', 'Principles for Responsible Investment']",2
124,Wellington,am,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Investor Network on Climate Risk', 'Sustainable Development Goals']",7
